job_id,company_id,title,category,min_experience_years,openings
1,16,DevOps (Job 1),DevOps,0.3,3
2,22,Data Analyst (Job 2),Data Analyst,0.7,5
3,19,Full Stack (Job 3),Full Stack,0.0,1
4,4,DevOps (Job 4),DevOps,2.5,3
5,46,DevOps (Job 5),DevOps,2.2,4
6,16,DevOps (Job 6),DevOps,2.1,5
7,17,ML Engineer (Job 7),ML Engineer,0.6,1
8,14,DevOps (Job 8),DevOps,0.0,1
9,52,Product Analyst (Job 9),Product Analyst,0.1,4
10,40,Full Stack (Job 10),Full Stack,0.0,2
11,2,Product Analyst (Job 11),Product Analyst,0.4,5
12,29,Data Analyst (Job 12),Data Analyst,0.3,5
13,54,Full Stack (Job 13),Full Stack,0.2,5
14,54,Frontend Engineer (Job 14),Frontend Engineer,0.1,3
15,59,Data Analyst (Job 15),Data Analyst,1.7,5
16,19,Data Analyst (Job 16),Data Analyst,1.3,3
17,40,QA/Test (Job 17),QA/Test,0.6,1
18,32,QA/Test (Job 18),QA/Test,1.2,3
19,55,Product Analyst (Job 19),Product Analyst,0.2,4
20,17,ML Engineer (Job 20),ML Engineer,0.5,3
21,31,QA/Test (Job 21),QA/Test,0.3,4
22,46,DevOps (Job 22),DevOps,0.2,1
23,39,QA/Test (Job 23),QA/Test,0.8,1
24,15,Full Stack (Job 24),Full Stack,1.1,2
25,11,Frontend Engineer (Job 25),Frontend Engineer,0.6,4
26,34,DevOps (Job 26),DevOps,1.6,3
27,43,Frontend Engineer (Job 27),Frontend Engineer,2.8,3
28,44,Full Stack (Job 28),Full Stack,0.7,4
29,35,Full Stack (Job 29),Full Stack,1.1,4
30,36,ML Engineer (Job 30),ML Engineer,0.6,5
31,53,DevOps (Job 31),DevOps,0.1,2
32,59,DevOps (Job 32),DevOps,0.5,4
33,47,Product Analyst (Job 33),Product Analyst,0.1,2
34,24,QA/Test (Job 34),QA/Test,0.2,3
35,12,DevOps (Job 35),DevOps,0.8,3
36,60,DevOps (Job 36),DevOps,0.3,1
37,40,Data Analyst (Job 37),Data Analyst,0.6,5
38,59,Frontend Engineer (Job 38),Frontend Engineer,0.2,2
39,9,Data Analyst (Job 39),Data Analyst,0.8,2
40,24,DevOps (Job 40),DevOps,3.0,4
41,46,Backend Engineer (Job 41),Backend Engineer,0.5,3
42,52,Data Analyst (Job 42),Data Analyst,0.3,3
43,54,DevOps (Job 43),DevOps,0.4,3
44,51,QA/Test (Job 44),QA/Test,0.3,4
45,22,Full Stack (Job 45),Full Stack,1.1,5
46,36,Frontend Engineer (Job 46),Frontend Engineer,0.4,1
47,1,Frontend Engineer (Job 47),Frontend Engineer,1.9,1
48,25,Product Analyst (Job 48),Product Analyst,1.6,5
49,16,Full Stack (Job 49),Full Stack,0.4,1
50,54,Backend Engineer (Job 50),Backend Engineer,0.6,3
51,48,Backend Engineer (Job 51),Backend Engineer,0.6,5
52,35,Data Analyst (Job 52),Data Analyst,0.3,5
53,22,DevOps (Job 53),DevOps,0.5,2
54,52,DevOps (Job 54),DevOps,0.1,1
